feature,mean_abs_shap
HDAC2,0.0
HDAC3,0.0
HDAC5,0.0
HAUS6,0.0
HIST1H2AJ,0.0
HIST1H2BC,0.0
HIST1H2BK,0.0
HIST1H3B,0.0
HIST1H4C,0.0
HIST1H4H,0.0
HIST2H2BE,0.0
HIVEP1,0.0
HIVEP2,0.0
HJURP,0.0
HK1,0.0
HERPUD2,0.0
HLCS,0.0
HLTF,0.0
HMBOX1,0.0
HMBS,0.0
HMG20A,0.0
HMG20B,0.0
HMGA1,0.0
HMGB1,0.0
HMGB2,0.0
HMGB3,0.0
HMGCL,0.0
HMGCR,0.0
HK2,0.0
HES6,0.0
HEXA,0.0
HEXB,0.0
HEXIM1,0.0
HGS,0.0
HIBADH,0.0
HIBCH,0.0
HIC2,0.0
HIF1A,0.0
HIF1AN,0.0
HIGD1A,0.0
HIGD2A,0.0
HIST1H2AC,0.0
HINFP,0.0
HINT1,0.0
HINT2,0.0
HINT3,0.0
HIP1,0.0
HIPK1,0.0
HIPK2,0.0
HIPK3,0.0
HIRA,0.0
HIRIP3,0.0
HIST1H1C,0.0
HIST1H1E,0.0
HILPDA,0.0
FAM118A,0.0
FAM118B,0.0
FAM120A,0.0
FAM120AOS,0.0
FAM120B,0.0
FAM120C,0.0
FAM122A,0.0
FAM122B,0.0
FAM126A,0.0
FAM126B,0.0
FAM133B,0.0
GEMIN8,0.0
FAM13A,0.0
FAM13B,0.0
FAM160A2,0.0
FAM160B1,0.0
FAM161A,0.0
FAM162A,0.0
FAM168B,0.0
FAM169A,0.0
FAM172A,0.0
FAM174B,0.0
FAM185A,0.0
FAM136A,0.0
EXTL2,0.0
EXTL3,0.0
EYA3,0.0
EZH1,0.0
EZH2,0.0
EZR,0.0
F11R,0.0
F2R,0.0
FABP5,0.0
FADD,0.0
FADS1,0.0
FAM117B,0.0
FADS3,0.0
FAF1,0.0
FAF2,0.0
FAHD1,0.0
FAHD2A,0.0
FAIM,0.0
FAM102A,0.0
FAM102B,0.0
FAM104A,0.0
FAM107B,0.0
FAM111A,0.0
FAM114A2,0.0
FADS2,0.0
FANCD2,0.0
FANCE,0.0
FANCF,0.0
FANCG,0.0
